t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
201,0.78646,0.58594,0.540285,0.02536675,0.08557,0.0987305,0.003920271,0.3284915,17.327328
202,0.783305,0.57478,0.52765,0.02604005,0.08754,0.1007275,0.003971948,0.3376815,17.83788
203,0.780105,0.563655,0.51512,0.0266898,0.0892815,0.102435,0.004025094,0.3470625,18.357408
204,0.77687,0.552615,0.50274,0.02730775,0.0907805,0.10384,0.004079635,0.356607,18.884232
205,0.77361,0.54169,0.4905525,0.0278864,0.0920265,0.1049345,0.004135479,0.366285,19.4166
206,0.77034,0.53092,0.478603,0.02841895,0.093011,0.105714,0.004192521,0.376067,19.95276
207,0.76707,0.52035,0.466927,0.02889955,0.0937305,0.1061785,0.004250646,0.385921,20.490936
208,0.76381,0.51,0.455557,0.0293232,0.094184,0.1063315,0.004309698,0.395817,21.029352
209,0.760575,0.4999035,0.444522,0.0296857,0.0943735,0.10618,0.004369552,0.405723,21.566304
210,0.757375,0.4900855,0.433846,0.02998395,0.0943055,0.105735,0.004430042,0.415609,22.100112
211,0.754215,0.4805675,0.423548,0.03021565,0.093987,0.1050105,0.00449101,0.4254455,22.629168
212,0.75111,0.4713665,0.4136445,0.0303795,0.09343,0.104022,0.004552292,0.4352035,23.152008
213,0.748065,0.4624975,0.4041465,0.03047495,0.092646,0.102788,0.004613719,0.444857,23.667168
214,0.74509,0.4539705,0.3950605,0.0305023,0.09165,0.1013275,0.004675125,0.45438,24.17328
215,0.74219,0.4457935,0.386392,0.03046265,0.0904575,0.0996615,0.004736354,0.463749,24.66936
216,0.739375,0.4379715,0.3781405,0.0303576,0.0890855,0.0978115,0.00479724,0.472943,25.1544
217,0.736645,0.4305065,0.3703045,0.0301895,0.087551,0.0957985,0.004857615,0.4819425,25.62696
218,0.734005,0.4233985,0.36288,0.02996115,0.0858715,0.0936445,0.004917354,0.49073,26.0868
219,0.73146,0.416645,0.3558605,0.02967575,0.084065,0.0913705,0.004976302,0.49929,26.53296
220,0.729015,0.410242,0.349237,0.02933685,0.0821485,0.088996,0.005034333,0.50761,26.96472
221,0.72667,0.4041835,0.343,0.02894825,0.0801395,0.0865415,0.005091323,0.515675,27.38208
222,0.724425,0.3984625,0.337139,0.02851405,0.078053,0.0840245,0.005147146,0.523485,27.78408
223,0.72228,0.3930715,0.3316425,0.0280383,0.075906,0.0814625,0.005201719,0.531025,28.17096
224,0.720235,0.3880005,0.326497,0.0275252,0.073712,0.0788715,0.005254948,0.53829,28.54224
225,0.7183,0.38324,0.32169,0.02697895,0.0714845,0.076266,0.005306729,0.545275,28.89816
226,0.71646,0.37878,0.317209,0.0264037,0.069237,0.073659,0.005357021,0.551985,29.23824
227,0.71472,0.37461,0.3130395,0.0258035,0.0669805,0.071063,0.00540574,0.55841,29.5632
228,0.71308,0.3707195,0.309169,0.0251823,0.064725,0.068488,0.005452844,0.564555,29.87256
229,0.71154,0.3670965,0.305584,0.0245438,0.062481,0.0659435,0.005498292,0.57042,30.1668
230,0.71009,0.363731,0.302271,0.0238916,0.060256,0.0634375,0.005542042,0.576015,30.44592
231,0.708735,0.360612,0.299218,0.0232291,0.058058,0.0609775,0.005584083,0.58133,30.71064
232,0.70747,0.3577285,0.296412,0.0225595,0.055893,0.058569,0.005624385,0.58638,30.96096
233,0.706295,0.3550695,0.293841,0.02188575,0.053767,0.056217,0.005662948,0.591165,31.19712
234,0.7052,0.352626,0.291494,0.02121055,0.0516845,0.053926,0.005699771,0.59569,31.41984
235,0.70419,0.350387,0.2893585,0.0205364,0.04964955,0.0516985,0.005734844,0.599965,31.62936
236,0.70326,0.3483425,0.2874245,0.0198656,0.0476656,0.0495372,0.005768198,0.60399,31.82592
237,0.70241,0.346484,0.2856815,0.0192002,0.0457352,0.04744425,0.005799833,0.60778,32.01
238,0.70163,0.344802,0.28412,0.01854205,0.04386045,0.04542055,0.005829781,0.61134,32.18208
239,0.70092,0.3432875,0.2827295,0.0178928,0.0420428,0.0434669,0.005858052,0.61467,32.34264
